x,y,label
0.0,0.0,a
0.0,2.481541837659083e-24,a
0.0,2.481541837659083e-24,a
0.0,4.549493369041652e-24,a
0.0,9.098986738083304e-24,a
0.0,9.098986738083304e-24,a
0.0,1.2407709188295415e-23,a
0.0,1.1580528575742387e-23,a
0.0,9.926167350636332e-24,a
0.0,1.3234889800848443e-23,a
0.0,1.9852334701272664e-23,a
0.0,2.150669592637872e-23,a
0.0,2.150669592637872e-23,a
0.0,1.9852334701272664e-23,a
0.0,2.3161057151484775e-23,a
0.0,3.3087224502121107e-23,a
0.0,-2.0679515313825692e-24,a
0.0,1.34416849539867e-24,a
0.0,-2.0679515313825692e-24,a
0.0,7.237830359838992e-25,a
0.0,-3.7223127564886245e-24,a
0.0,-2.481541837659083e-24,a
0.0,-4.1359030627651384e-24,a
0.0,-3.7223127564886245e-24,a
0.0,-1.6543612251060553e-24,a
0.0,-2.481541837659083e-24,a
0.0,8.271806125530277e-25,a
0.0,-3.7223127564886245e-24,a
0.0,-4.549493369041652e-24,a
0.0,-6.2038545941477076e-24,a
0.0,-7.444625512977249e-24,a
0.0,-4.963083675318166e-24,a
0.0,-6.617444900424222e-24,a
0.0,-5.790264287871194e-24,a
0.0,-4.963083675318166e-24,a
0.0,-4.1359030627651384e-24,a
0.0,-4.963083675318166e-24,a
0.0,-8.271806125530277e-24,a
0.0,-4.963083675318166e-24,a
0.0,-9.098986738083304e-24,a
0.0,-8.271806125530277e-24,a
0.0,-8.271806125530277e-25,a
0.0,-9.098986738083304e-24,a
0.0,-7.444625512977249e-24,a
0.0,-9.098986738083304e-24,a
0.0,-4.963083675318166e-24,a
0.0,-8.271806125530277e-24,a
0.0,-8.271806125530277e-24,a
0.0,-1.1580528575742387e-23,a
0.0,-6.617444900424222e-24,a
0.0,-7.444625512977249e-24,a
0.0,-1.1580528575742387e-23,a
0.0,-1.4889251025954498e-23,a
0.0,-1.406207041340147e-23,a
0.0,-8.271806125530277e-24,a
0.0,-9.926167350636332e-24,a
0.0,-1.3234889800848443e-23,a
0.0,-9.926167350636332e-24,a
0.0,-9.926167350636332e-24,a
0.0,-8.271806125530277e-24,a
0.0,1.4475660719677984e-24,a
0.0,-9.926167350636332e-24,a
0.0,-1.3234889800848443e-23,a
0.0,-6.617444900424222e-24,a
0.0,-8.271806125530277e-24,a
0.0,-1.3234889800848443e-23,a
0.0,4.549493369041652e-24,a
0.0,-8.271806125530277e-24,a
0.0,-9.926167350636332e-24,a
0.0,-1.3234889800848443e-23,a
0.0,-1.6543612251060553e-23,a
0.0,-2.150669592637872e-23,a
0.0,-6.617444900424222e-24,a
0.0,2.895132143935597e-24,a
0.0,-1.3234889800848443e-23,a
0.0,3.308722450212111e-24,a
0.0,-1.819797347616661e-23,a
0.0,-9.926167350636332e-24,a
0.0,-2.150669592637872e-23,a
0.0,-9.926167350636332e-24,a
0.0,2.895132143935597e-24,a
0.0,-1.1580528575742387e-23,a
0.0,-1.819797347616661e-23,a
0.0,-1.4889251025954498e-23,a
0.0,-1.9852334701272664e-23,a
0.0,-1.6543612251060553e-23,a
0.0,-1.6543612251060553e-23,a
0.0,-1.0339757656912846e-25,a
0.0,-8.271806125530277e-24,a
0.0,-1.9852334701272664e-23,a
0.0,-2.150669592637872e-23,a
0.0,-1.4889251025954498e-23,a
0.0,-2.3161057151484775e-23,a
0.0,-1.3234889800848443e-23,a
0.0,-1.6543612251060553e-23,a
0.0,-2.3161057151484775e-23,a
0.0,-1.9852334701272664e-23,a
0.0,3.308722450212111e-24,a
0.0,-1.3234889800848443e-23,a
0.0,-1.6543612251060553e-23,a
0.0,-1.6543612251060553e-23,a
0.01,-0.959427831296487,a
0.01,-3.228221109381794e-07,a
0.01,-1.8179247697161617e-08,a
0.01,-9.613059748310988e-09,a
0.01,-7.615357581990642e-09,a
0.01,-6.8242102172868535e-09,a
0.01,-6.426201188690783e-09,a
0.01,-6.196434621787099e-09,a
0.01,-6.051291661168813e-09,a
0.01,-5.953557867603471e-09,a
0.01,-0.9594179572129649,a
0.01,-0.9594167837785399,a
0.01,-0.9594155899432344,a
0.01,-0.9594144191459624,a
0.01,-0.9594293194487957,a
0.01,-0.959429439766512,a
0.01,-0.9594295219953426,a
0.01,-0.95942921526754,a
0.01,-0.9594298600488304,a
0.01,-0.9594299845566008,a
0.01,-0.959430113219463,a
0.01,-0.95942785392016,a
0.01,-0.9594303698683633,a
0.01,-0.9594304825209589,a
0.01,-0.9594306084901414,a
0.01,-0.9594307439758343,a
0.01,-0.959430865485415,a
0.01,-0.9594309837354438,a
0.01,-0.9594310950237117,a
0.01,-0.9594312116688426,a
0.01,-0.9594313359811366,a
0.01,-0.9594314532368602,a
0.01,-0.9594315529301148,a
0.01,-0.9594316538384228,a
0.01,-0.9594320060519321,a
0.01,-0.9594318401544175,a
0.01,-0.9594013663820481,a
0.01,-0.9594320418201665,a
0.01,-0.9594321296965767,a
0.01,-0.9594322242127582,a
0.01,-0.9594322999225359,a
0.01,-0.9594324943032364,a
0.01,-0.9594325410539903,a
0.01,-0.9594292045580812,a
0.01,-0.9594331719868847,a
