x,y,z
1.0,0.0,1.1443916996305594e-16
1.0,0.01,1.0363309942540482e-09
1.0,0.02,2.0726621460788773e-09
1.0,0.03,3.108993308108292e-09
1.0,0.04,4.145324405608719e-09
1.0,0.05,5.1816555187161565e-09
1.0,0.06,6.217986667839773e-09
1.0,0.07,7.254317873989008e-09
1.0,0.08,8.290648961284852e-09
1.0,0.09,9.326980094801458e-09
1.0,0.1,1.0363311246626288e-08
1.0,0.11,1.139964233392213e-08
1.0,0.12,1.2435973470139949e-08
1.0,0.13,1.3472304634870577e-08
1.0,0.14,1.4508635719465208e-08
1.0,0.15,1.5544966910007432e-08
1.0,0.16,1.4674474659259963e-09
1.0,0.17,8.026299431071775e-10
1.0,0.18,1.770326072019116e-09
1.0,0.19,7.813237772416188e-10
1.0,0.2,2.0596603925549473e-09
1.0,0.21,2.054890417773936e-09
1.0,0.22,2.331120451656371e-09
1.0,0.23,2.4652899093222137e-09
1.0,0.24,1.9416642685046017e-09
1.0,0.25,2.158974984523575e-09
1.0,0.26,1.8965204831518283e-09
1.0,0.27,3.0626885014272938e-09
1.0,0.28,3.2053871578445952e-09
1.0,0.29,3.3479556245631113e-09
1.0,0.3,3.4904367839825875e-09
1.0,0.31,3.5812442384100933e-09
1.0,0.32,3.749244260994676e-09
1.0,0.33,3.681435886548534e-09
1.0,0.34,4.059522956658693e-09
1.0,0.35000000000000003,4.178331615230579e-09
1.0,0.36,4.295140702685641e-09
1.0,0.37,4.485789281003924e-09
1.0,0.38,4.605591259051199e-09
1.0,0.39,4.769861710764035e-09
1.0,0.4,4.911762830868726e-09
1.0,0.41000000000000003,5.0536067801370274e-09
1.0,0.42,5.195436312096418e-09
1.0,0.43,5.337210391925428e-09
1.0,0.44,5.4790628869621645e-09
1.0,0.45,5.594476581960347e-09
1.0,0.46,5.762406308411884e-09
1.0,0.47000000000000003,5.9040908350018964e-09
1.0,0.48,6.045695495904708e-09
1.0,0.49,6.1524762561026795e-09
1.0,0.5,4.840274093176804e-09
1.0,0.51,6.4705814482912064e-09
1.0,0.52,6.612128807821627e-09
1.0,0.53,6.75389536197212e-09
1.0,0.54,6.834936819117435e-09
1.0,0.55,6.859008700662473e-09
1.0,0.56,6.8126219745268455e-09
1.0,0.5700000000000001,7.319983143024093e-09
1.0,0.58,7.461464450169568e-09
1.0,0.59,7.586395877429955e-09
1.0,0.6,1.196283179433108e-09
1.0,0.61,7.885925780103217e-09
1.0,0.62,8.027310014891378e-09
1.0,0.63,8.168749472371886e-09
1.0,0.64,8.310241922136686e-09
1.0,0.65,8.451606936690856e-09
1.0,0.66,2.9128970185396694e-09
1.0,0.67,7.753780996410633e-09
1.0,0.68,8.87586811818502e-09
1.0,0.6900000000000001,8.985772845505888e-09
1.0,0.7000000000000001,9.077754642080125e-09
1.0,0.71,9.300039187823792e-09
1.0,0.72,9.441371177206166e-09
1.0,0.73,2.610798782281832e-09
1.0,0.74,9.586808082193336e-09
1.0,0.75,2.236952462472301e-09
1.0,0.76,1.0006647938323662e-08
1.0,0.77,1.0148110497530877e-08
1.0,0.78,1.0289440212268283e-08
1.0,0.79,9.18033563547293e-09
1.0,0.8,2.6436793964342993e-09
1.0,0.81,1.0713404425737685e-08
1.0,0.8200000000000001,1.0854714023554976e-08
1.0,0.8300000000000001,1.0996019913206704e-08
1.0,0.84,1.1137318394555505e-08
1.0,0.85,1.1236870276834848e-08
1.0,0.86,1.139534388436126e-08
1.0,0.87,2.1789459147062258e-10
1.0,0.88,1.1702500110444088e-08
1.0,0.89,1.1783577813473737e-08
1.0,0.9,1.1985055110519716e-08
1.0,0.91,1.159019647664454e-08
1.0,0.92,1.2267611354388835e-08
1.0,0.93,1.2359268687436238e-08
1.0,0.9400000000000001,1.2440011828917094e-08
1.0,0.9500000000000001,1.269141643180333e-08
1.0,0.96,1.2752637008988934e-08
1.0,0.97,2.3100872973943114e-09
1.0,0.98,1.3054241245854572e-08
1.0,0.99,1.3165556144233129e-08
1.0,1.0,1.3397695802899448e-08
1.0,0.0,1.5722325781959346e-11
1.0,0.01,5.976007646319918e-08
1.0,0.02,6.7305996843306695e-09
1.0,0.03,5.338641448557496e-09
1.0,0.04,5.638948801668623e-09
1.0,0.05,6.316409264152242e-09
1.0,0.06,7.137620068084333e-09
1.0,0.07,8.029486516755026e-09
1.0,0.08,8.961607804410114e-09
1.0,0.09,9.918978442782057e-09
1.0,0.1,1.7863011510504503e-06
1.0,0.11,1.9891842729108154e-06
1.0,0.12,2.192454490434311e-06
