x,y,label
0.0,-5.834221994405198e-14,a
0.01,-2.2815083156046967e-14,a
0.02,-2.55351295663786e-15,a
0.03,1.1102230246251565e-16,a
0.04,-1.2212453270876722e-15,a
0.05,2.220446049250313e-16,a
0.06,-6.106226635438361e-16,a
0.07,-1.1657341758564144e-15,a
0.08,4.996003610813204e-16,a
0.09,5.551115123125783e-17,a
0.1,-1.7486012637846216e-14,a
0.11,1.815214645262131e-14,a
0.12,1.226796442210798e-14,a
0.13,8.881784197001252e-15,a
0.14,-4.118927421359331e-14,a
0.15,5.551115123125783e-16,a
0.16,1.942890293094024e-15,a
0.17,6.106226635438361e-16,a
0.18,-8.326672684688674e-16,a
0.19,-5.384581669432009e-15,a
0.2,1.1102230246251565e-16,a
0.21,5.051514762044462e-15,a
0.22,-3.991251773527438e-14,a
0.23,-1.1102230246251565e-16,a
0.24,-3.1308289294429414e-14,a
0.25,3.941291737419306e-15,a
0.26,-5.88418203051333e-15,a
0.27,-1.9040324872321435e-14,a
0.28,-1.5543122344752192e-15,a
0.29,-8.881784197001252e-16,a
0.3,-1.7763568394002505e-15,a
0.31,2.831068712794149e-15,a
0.32,-5.551115123125783e-17,a
0.33,2.170486013142181e-14,a
0.34,3.086420008457935e-14,a
0.35000000000000003,-1.1829426327381043e-13,a
0.36,1.4377388168895777e-14,a
0.37,3.101408019290375e-13,a
0.38,-2.4802382370125997e-13,a
0.39,-2.220446049250313e-16,a
0.4,-1.3877787807814457e-15,a
0.41000000000000003,5.495603971894525e-15,a
0.42,3.5810243659284424e-13,a
0.43,-2.2537527399890678e-14,a
0.44,1.4194201369832626e-13,a
0.45,-3.3306690738754696e-16,a
0.46,-1.4432899320127035e-15,a
0.47000000000000003,-0.012867782847569453,a
0.48,-0.05978672347087993,a
0.49,-0.12094227181669975,a
0.5,-0.20512679708818482,a
0.51,-0.3289112906311935,a
0.52,-0.5162000183121548,a
0.53,-0.7314261910224535,a
0.54,-0.870707797596618,a
0.55,-0.945206105661434,a
0.56,-0.9884767939456454,a
0.5700000000000001,-0.9961010492755638,a
0.58,-0.9962552957958526,a
0.59,-0.9963997857190583,a
0.6,-0.9965350918655997,a
0.61,-0.9966613991280072,a
0.62,-0.9967813612756218,a
0.63,-0.9968936295799272,a
0.64,-0.9969995763701649,a
0.65,-0.9970994697570043,a
0.66,-0.9971938546997491,a
0.67,-0.9972831003414447,a
0.68,-0.9973676152231795,a
0.6900000000000001,-0.9974477278145526,a
0.7000000000000001,-0.9975237434531706,a
0.71,-0.9975959473350866,a
0.72,-0.9976646139242333,a
0.73,-0.9977299502291532,a
0.74,-0.9977921844551532,a
0.75,-0.9978515174547142,a
0.76,-0.9979081353344379,a
0.77,-0.9979622007989056,a
0.78,-0.9980138654840252,a
0.79,-0.9980632686169068,a
0.8,-0.998110567805881,a
0.81,-0.9981558678143401,a
0.8200000000000001,-0.9981992784535039,a
0.8300000000000001,-0.9982409254169767,a
0.84,-0.9982808866630322,a
0.85,-0.9983192601871861,a
0.86,-0.9983561489358556,a
0.87,-0.9983915999642368,a
0.88,-0.9984257187227057,a
0.89,-0.9984585582516302,a
0.9,-0.9984901938489503,a
0.91,-0.9985140964048814,a
0.92,-0.9985500616996124,a
0.93,-0.9985784094015808,a
0.9400000000000001,-0.9986057563128778,a
0.9500000000000001,-0.9986321765891726,a
0.96,-0.9986576911869827,a
0.97,-0.9986823611355107,a
0.98,-0.998706205918499,a
0.99,-0.9987292671610115,a
1.0,-0.9987515828284497,a
