x,y,label
1.0,-4.0252288821383536e-11,a
1.99,-4.105961472840292e-11,a
2.98,-4.051102350054423e-11,a
3.9699999999999998,-4.054300105952672e-11,a
4.96,-4.0365085656067276e-11,a
5.95,-4.053029713948191e-11,a
6.9399999999999995,-4.03123167776366e-11,a
7.93,-4.122530707232438e-11,a
8.92,-4.010605577363255e-11,a
9.91,-4.0694079334330596e-11,a
10.9,-4.0813780545211024e-11,a
11.89,-4.029729186558742e-11,a
12.879999999999999,-3.993090001124967e-11,a
13.87,-4.004099717022384e-11,a
14.86,-4.028447849261213e-11,a
15.85,-3.971836275396123e-11,a
16.84,-4.014071264940006e-11,a
17.83,-4.0245815765634424e-11,a
18.82,-3.992203538413481e-11,a
19.81,-3.989872095283702e-11,a
20.8,-3.976865037802789e-11,a
21.79,-3.946344515843569e-11,a
22.78,-3.983229440427012e-11,a
23.77,-3.952809993006521e-11,a
24.759999999999998,-3.905105212983272e-11,a
25.75,-3.940843623319263e-11,a
26.74,-3.9438245458465446e-11,a
27.73,-3.9269130424207576e-11,a
28.72,-3.881100737035297e-11,a
29.71,-3.856147026871815e-11,a
30.7,-3.8774680363859684e-11,a
31.69,-3.818278801687134e-11,a
32.68,-3.844171493482176e-11,a
33.67,-3.805859463514542e-11,a
34.66,-3.846387165071657e-11,a
35.65,-3.803964193749994e-11,a
36.64,-3.8194452201615526e-11,a
37.63,-3.737664768277995e-11,a
38.62,-3.7784757635805706e-11,a
39.61,-3.739825792447292e-11,a
40.6,-3.6849424203591493e-11,a
41.589999999999996,-3.730494874150065e-11,a
42.58,-3.7238386410404773e-11,a
43.57,-3.679775188762679e-11,a
44.56,-3.655620178604789e-11,a
45.55,-3.65100671720193e-11,a
46.54,-3.627953669553898e-11,a
47.53,-3.624145403550994e-11,a
48.519999999999996,-3.599144431092789e-11,a
49.51,-3.544627373224795e-11,a
50.5,-3.5718545063849e-11,a
51.49,-3.539425928447806e-11,a
52.48,-3.5173391481110836e-11,a
53.47,-3.5152944623243823e-11,a
54.46,-3.4488753199686666e-11,a
55.45,-3.4914646830623835e-11,a
56.44,-3.4578802826596886e-11,a
57.43,-3.4081353741409543e-11,a
58.42,-3.40667842495395e-11,a
59.41,-3.3910058673356184e-11,a
60.4,-3.374027881093009e-11,a
61.39,-3.358987246225918e-11,a
62.38,-3.387969423685892e-11,a
63.37,-3.33753514334397e-11,a
64.36,-3.264427276822467e-11,a
65.35,-3.286673807659106e-11,a
66.34,-3.2451712342420786e-11,a
67.33,-3.253810194871708e-11,a
68.32,-3.2435775779772743e-11,a
69.31,-3.175860061439234e-11,a
70.3,-3.2036750370970133e-11,a
71.29,-3.1670752804981864e-11,a
72.28,-3.154312518727669e-11,a
73.27,-3.107021400501104e-11,a
74.26,-3.092740375495106e-11,a
75.25,-3.069098818644752e-11,a
76.24,-3.035631633986084e-11,a
77.23,-3.041995421233591e-11,a
78.22,-3.005844429354695e-11,a
79.21,-2.997806814127159e-11,a
80.2,-2.957327686502214e-11,a
81.19,-2.958082474603269e-11,a
82.17999999999999,-2.979932237503847e-11,a
83.17,-2.915426604204194e-11,a
84.16,-2.9114660183263266e-11,a
85.15,-2.9053019246455685e-11,a
86.14,-2.85293978902587e-11,a
87.13,-2.8470899756422683e-11,a
88.12,-2.8238983862569023e-11,a
89.11,-2.782932533890562e-11,a
90.1,-2.7648323069592334e-11,a
91.09,-2.7554753464172978e-11,a
92.08,-2.753568228168038e-11,a
93.07,-2.6969755392330827e-11,a
94.06,-2.716384461239708e-11,a
95.05,-2.6906475933595306e-11,a
96.03999999999999,-2.6551115976358137e-11,a
97.03,-2.636958741113941e-11,a
98.02,-2.603078253151139e-11,a
99.01,-2.584857314893961e-11,a
