x,y,label
1.0,1.2960665526917658e-12,a
1.99,2.2665723464765364e-13,a
2.98,5.171080577626164e-14,a
3.9699999999999998,8.315193238822571e-11,a
4.96,1.6711723151152658e-12,a
5.95,1.7963217328539893e-10,a
6.9399999999999995,1.4098763389397417e-11,a
7.93,6.506277721446407e-11,a
8.92,1.306645629368941e-10,a
9.91,1.167690792149012e-10,a
10.9,1.4710650232674372e-12,a
11.89,2.9650327982785885e-11,a
12.879999999999999,1.60468322657481e-11,a
13.87,1.390702874040639e-12,a
14.86,5.595129394520004e-13,a
15.85,4.358853469138557e-11,a
16.84,1.2582734875733748e-10,a
17.83,7.368342047620047e-12,a
18.82,4.187348688275416e-11,a
19.81,2.912074119169883e-11,a
20.8,4.773916960527924e-11,a
21.79,1.0174507850818637e-10,a
22.78,1.5343885016727565e-12,a
23.77,9.272899288703673e-13,a
24.759999999999998,4.0379322064840184e-12,a
25.75,2.0026176572075782e-11,a
26.74,2.7658240281391855e-12,a
27.73,3.5466009469520277e-13,a
28.72,6.861867898975277e-12,a
29.71,4.074692883451747e-11,a
30.7,3.529404931290267e-12,a
31.69,9.115407116188495e-11,a
32.68,3.2322504861428264e-12,a
33.67,1.64606018429808e-13,a
34.66,6.7419290064816595e-18,a
35.65,1.8885371007305486e-16,a
36.64,2.070416261592217e-16,a
37.63,2.2483812930340916e-16,a
38.62,2.216150834105435e-16,a
39.61,2.1233561385528763e-16,a
40.6,2.0332007659648642e-16,a
41.589999999999996,1.878198188667669e-16,a
42.58,1.6330061131959383e-16,a
43.57,1.4070232970036785e-16,a
44.56,1.2020200694003862e-16,a
45.55,1.02167524278412e-16,a
46.54,8.596374460529165e-17,a
47.53,7.193469896754031e-17,a
48.519999999999996,5.954968119710531e-17,a
49.51,4.8485814806343296e-17,a
50.5,3.830968390701111e-17,a
51.49,2.9960434851762466e-17,a
52.48,2.3052435423390996e-17,a
53.47,3.82985936006945e-14,a
54.46,3.490938441367242e-14,a
55.45,3.157788142966116e-14,a
56.44,2.846074856048609e-14,a
57.43,2.549453557753207e-14,a
58.42,2.2667394587683015e-14,a
59.41,2.0014468173117992e-14,a
60.4,1.758886556209681e-14,a
61.39,1.5307905859686972e-14,a
62.38,1.3273000981858615e-14,a
63.37,1.1380224622690193e-14,a
64.36,9.677004044034389e-15,a
65.35,8.183265659089704e-15,a
66.34,6.684380966111231e-15,a
67.33,5.350940480018207e-15,a
68.32,4.2425714029363055e-15,a
69.31,3.3044790282111283e-15,a
70.3,2.5312453388867914e-15,a
71.29,1.9136740253735665e-15,a
72.28,1.413376625376676e-15,a
73.27,1.0359407741328059e-15,a
74.26,7.315130591328441e-16,a
75.25,5.068653171884044e-16,a
76.24,3.435106004829806e-16,a
77.23,2.260583067818719e-16,a
78.22,1.4329188713798457e-16,a
79.21,8.830811098738308e-17,a
80.2,1.2580700875676943e-14,a
81.19,1.3681328107774455e-14,a
82.17999999999999,1.466561476708347e-14,a
83.17,1.556868993636673e-14,a
84.16,1.6358143589131906e-14,a
85.15,1.7335331906134952e-14,a
86.14,1.820993695612205e-14,a
87.13,1.8929132850385568e-14,a
88.12,1.8663479776509222e-14,a
89.11,1.4356854459450255e-14,a
90.1,1.1799515842801096e-14,a
91.09,1.0394268983172988e-14,a
92.08,1.008871657046105e-14,a
93.07,9.794529418122384e-15,a
94.06,9.483694979134981e-15,a
95.05,9.191348405990977e-15,a
96.03999999999999,8.895930858256639e-15,a
97.03,8.597355550791962e-15,a
98.02,8.303006339918339e-15,a
99.01,8.01223089234263e-15,a
