x,y,label
1.0,2.5068464233938495e-10,a
1.99,3.187727941753138e-10,a
2.98,2.876440086920718e-10,a
3.9699999999999998,5.880325846626771e-10,a
4.96,2.9866441623346583e-10,a
5.95,4.617273142022533e-10,a
6.9399999999999995,3.08155007741396e-10,a
7.93,3.1183374328263184e-10,a
8.92,2.7889638408606134e-10,a
9.91,9.885621578984882e-11,a
10.9,3.01123619189399e-10,a
11.89,1.3214203549488465e-10,a
12.879999999999999,7.055703685219534e-11,a
13.87,3.401978096417776e-10,a
14.86,2.431312792740878e-10,a
15.85,2.895127183820443e-10,a
16.84,3.1118792543764255e-10,a
17.83,6.133975773833309e-11,a
18.82,3.8773965254765176e-10,a
19.81,1.5917176297199078e-10,a
20.8,2.474973621554855e-10,a
21.79,3.7118033550871173e-10,a
22.78,4.558002254607451e-10,a
23.77,2.98104360539773e-10,a
24.759999999999998,6.061635668444089e-10,a
25.75,2.9507819820314257e-10,a
26.74,2.2514173613773204e-10,a
27.73,4.926306872900428e-10,a
28.72,3.1515464685792e-10,a
29.71,3.698973653795674e-10,a
30.7,3.766308762955345e-12,a
31.69,3.200007908791093e-10,a
32.68,1.330322022683783e-10,a
33.67,8.97512248356825e-13,a
34.66,4.4471608907416083e-10,a
35.65,3.016012893527994e-11,a
36.64,2.976227751630081e-10,a
37.63,4.4399765331115435e-10,a
38.62,3.2808449471675985e-10,a
39.61,1.4479533374314317e-10,a
40.6,1.2300198895106872e-10,a
41.589999999999996,3.3752193259550257e-10,a
42.58,6.651744212545554e-11,a
43.57,2.974744035662233e-10,a
44.56,1.1671241733560614e-10,a
45.55,5.386575826991643e-10,a
46.54,1.842756139097388e-10,a
47.53,4.578862044356802e-10,a
48.519999999999996,1.2612781136281733e-10,a
49.51,2.379206189160661e-10,a
50.5,4.974194866712512e-10,a
51.49,6.826273253231446e-11,a
52.48,1.200464498723175e-10,a
53.47,4.271634475330957e-10,a
54.46,3.2791299962461736e-10,a
55.45,3.2258765850053355e-10,a
56.44,1.27939889014022e-10,a
57.43,5.54238065183879e-10,a
58.42,1.8755402752267262e-10,a
59.41,2.8587336238599415e-10,a
60.4,3.9203662617891413e-10,a
61.39,1.278110688905811e-10,a
62.38,2.5452221933280246e-10,a
63.37,3.1643695875116655e-10,a
64.36,2.543139399052923e-10,a
65.35,3.100117129402149e-10,a
66.34,3.959557450181368e-10,a
67.33,2.63003225605358e-10,a
68.32,4.293686407992564e-10,a
69.31,3.7984893261913617e-10,a
70.3,4.870983354963636e-10,a
71.29,3.58180551214918e-10,a
72.28,3.701054392012433e-10,a
73.27,1.4514920064701818e-10,a
74.26,4.2109083584680865e-11,a
75.25,1.0194661199530857e-10,a
76.24,3.83283038713463e-10,a
77.23,2.793080666976976e-10,a
78.22,3.046943537361745e-10,a
79.21,4.25038393342584e-10,a
80.2,9.682478228612636e-11,a
81.19,4.735246460143533e-11,a
82.17999999999999,2.0131539892249377e-10,a
83.17,8.648571545011342e-11,a
84.16,1.234765387301492e-10,a
85.15,3.939086170975786e-10,a
86.14,1.4346689995687697e-10,a
87.13,5.252590894290172e-10,a
88.12,3.7665227740882536e-10,a
89.11,1.5283921614505075e-10,a
90.1,4.539842604654686e-10,a
91.09,3.1303126814892016e-10,a
92.08,2.628188017046667e-10,a
93.07,5.152172845475507e-10,a
94.06,3.588327745840894e-10,a
95.05,1.975975020838994e-11,a
96.03999999999999,4.710039996060624e-10,a
97.03,4.035654321796154e-11,a
98.02,7.270912902442352e-11,a
99.01,1.2208016858386047e-10,a
