x,y
(0.004975185951049947+0.049751859510499465j),(0.7090608723624349+0j)
(0.025407443098914302+0.04306346287951576j),(0.708023436712631+0j)
(0.03668803370090848+0.03397040157491525j),(0.7059151187461189+0j)
(0.04217201033110324+0.026861153077135814j),(0.7028458636811886+0j)
(0.04498031031933674+0.021835102096765403j),(0.7008656358725568+0j)
(0.046548659924353177+0.018254376440922808j),(0.6988219597982406+0j)
(0.04749628949731888+0.015623779439907523j),(0.6978096243611471+0j)
(0.04810693199222614+0.013628026060120717j),(0.6950802813230721+0j)
(0.048521291720394384+0.012069973064774722j),(0.6953711943563542+0j)
(0.04881444108687413+0.010823601127910006j),(0.6974024795819134+0j)
