x,y
1.0,-0.37265776028508657
2.0,-0.3703922799646912
3.0,-0.36811064157798457
4.0,-0.3658145033559244
5.0,-0.36350382173217033
6.0,-0.36117855105408536
7.0,-0.3588370093000349
8.0,-0.3564824265357368
9.0,-0.35410988254987763
10.0,-0.3517241922648364
11.0,-0.3493220890620356
12.0,-0.3469035507544231
13.0,-0.34447011764919533
14.0,-0.3420217281777363
15.0,-0.3395567793385185
16.0,-0.3370767693803144
17.0,-0.33457860241906984
18.0,-0.33206678889451446
19.0,-0.32953675365891594
20.0,-0.3269914514337976
21.0,-0.3244293446640488
22.0,-0.3218503955752204
23.0,-0.3192559999062913
24.0,-0.31664323334625316
25.0,-0.31401490966190804
26.0,-0.31136954978735315
27.0,-0.30870710811884033
28.0,-0.3060275375372738
29.0,-0.3033307893952107
30.0,-0.30061681350350616
31.0,-0.29788555811758716
32.0,-0.2951369699233515
33.0,-0.2923709940226933
34.0,-0.2895875739186399
35.0,-0.28678539106802425
36.0,-0.2839656773007165
37.0,-0.2811283717219699
38.0,-0.2782734117799604
39.0,-0.2754007332489885
40.0,-0.27250908925044265
41.0,-0.26959962590865927
42.0,-0.2666711263633132
43.0,-0.26372470151082156
44.0,-0.2607602795327879
45.0,-0.25777668950409377
46.0,-0.2547749878655738
47.0,-0.2517540352712277
48.0,-0.24871380599937282
49.0,-0.24565530089147913
50.0,-0.24257843883766778
51.0,-0.23948115427830524
52.0,-0.23636541811077444
53.0,-0.2332311446430447
54.0,-0.2300763745427036
55.0,-0.22690296534288656
56.0,-0.2237099286431083
57.0,-0.2204972296984277
58.0,-0.21726569226375678
59.0,-0.21401354150777013
60.0,-0.2107424388102225
61.0,-0.20745148593649687
62.0,-0.2041398632642253
63.0,-0.2008091101527139
64.0,-0.19745838495144882
65.0,-0.1940869269303862
66.0,-0.19069614983741068
67.0,-0.18728459423531454
68.0,-0.1838535880897093
69.0,-0.18040175467853106
70.0,-0.17692972321264658
71.0,-0.17343744587716886
72.0,-0.16992430674423836
73.0,-0.16639141259674664
74.0,-0.1628376011986231
75.0,-0.1592628891825712
76.0,-0.15566824571856056
77.0,-0.1520526425349414
78.0,-0.14841609573320416
79.0,-0.14475902728212028
80.0,-0.14108138193808514
81.0,-0.09738520373262516
82.0,-0.0949143827422531
83.0,-0.09241146355978029
84.0,-0.08987572035881253
85.0,-0.08730690787700726
86.0,-0.08470434151954673
87.0,-0.08206757411178711
88.0,-0.0793962557331357
89.0,-0.07668976488688302
90.0,-0.07394767996854779
91.0,-0.07116942191717052
92.0,-0.06835450849112117
93.0,-0.0655024083147249
94.0,-0.06261253526703905
95.0,-0.059684396564887006
96.0,-0.05671747957511757
97.0,-0.05371110108757031
98.0,-0.05066483460353482
99.0,-0.04757791879122733
