x,y
1.0,-0.34868452506753705
2.0,-0.3488930354631906
3.0,-0.34910320892497343
4.0,-0.3493150347777378
5.0,-0.34952850243056366
6.0,-0.3497436013752841
7.0,-0.3499603211850295
8.0,-0.35017865151279065
9.0,-0.350398582090002
10.0,-0.35062010272514105
11.0,-0.3508432033023486
12.0,-0.35106787378006626
13.0,-0.35129410418969154
14.0,-0.35152188463425127
15.0,-0.35175120528709175
16.0,-0.3519820563905876
17.0,-0.3522144282548662
18.0,-0.3524483112565502
19.0,-0.3526836958375156
20.0,-0.3529205725036677
21.0,-0.35315893182373215
22.0,-0.3533987644280626
23.0,-0.3536400610074643
24.0,-0.3538828123120335
25.0,-0.35412700915001183
26.0,-0.35437264238665683
27.0,-0.35461970294312717
28.0,-0.35486818179538254
29.0,-0.35511806997309964
30.0,-0.35536935855860124
31.0,-0.35562203868580056
32.0,-0.35587610153916005
33.0,-0.356131538352664
34.0,-0.3563883404088052
35.0,-0.35664649903758533
36.0,-0.3569060056155295
37.0,-0.35716685156471384
38.0,-0.35742902835180623
39.0,-0.35769252748712094
40.0,-0.357957340523686
41.0,-0.35822345905632286
42.0,-0.35849087472074026
43.0,-0.35875957919263934
44.0,-0.35902956418683196
45.0,-0.35930082145637104
46.0,-0.35957334279169334
47.0,-0.3598471200197748
48.0,-0.3601221450032964
49.0,-0.36039840963982356
50.0,-0.360675905860996
51.0,-0.36095462563172986
52.0,-0.36123456094943107
53.0,-0.36151570384322024
54.0,-0.36179804637316776
55.0,-0.362081580629542
56.0,-0.3623662987320666
57.0,-0.3626521928291898
58.0,-0.36293925509736374
59.0,-0.36322747774033504
60.0,-0.3635168529884458
61.0,-0.36380737309794464
62.0,-0.364099030350309
63.0,-0.3643918170515763
64.0,-0.3646857255316869
65.0,-0.36498074814383524
66.0,-0.3652768772638334
67.0,-0.3655741052894813
68.0,-0.36587242463994996
69.0,-0.3661718277551719
70.0,-0.36647230709524264
71.0,-0.3667738551398311
72.0,-0.36707646438759883
73.0,-0.36738012735563075
74.0,-0.36768483657887147
75.0,-0.36799058460957484
76.0,-0.36829736401675933
77.0,-0.3686051673856741
78.0,-0.3689139873172736
79.0,-0.3692238164277009
80.0,-0.36953464734777985
81.0,-0.36984647272251564
82.0,-0.37015928521060487
83.0,-0.3704730774839528
84.0,-0.3707878422272001
85.0,-0.37110357213725803
86.0,-0.37142025992285105
87.0,-0.3717378983040682
88.0,-0.3720564800119237
89.0,-0.3723759977879233
90.0,-0.372696444383641
91.0,-0.3730178125603032
92.0,-0.37334009508837923
93.0,-0.37366328474718236
94.0,-0.37398737432447615
95.0,-0.37431235661609086
96.0,-0.3746382244255452
97.0,-0.37496497056367795
98.0,-0.3752925878482857
99.0,-0.37562106910376875
