x,y,label
1.0,-0.5128304493467747,a
1.99,-0.5111409969523854,a
2.98,-0.509472776516787,a
3.9699999999999998,-0.5078256759796754,a
4.96,-0.5061977812344235,a
5.95,-0.5045901918165713,a
6.9399999999999995,-0.5030019760250053,a
7.93,-0.5014332628097526,a
8.92,-0.4998813058780327,a
9.91,-0.498348511650041,a
10.9,-0.49683255752028016,a
11.89,-0.49533477339804327,a
12.879999999999999,-0.49385423468243855,a
13.87,-0.49238928977596885,a
14.86,-0.4909412557077413,a
15.85,-0.48950868229372835,a
16.84,-0.4880925965346241,a
17.83,-0.4866906158064898,a
18.82,-0.4853040686085953,a
19.81,-0.4839322727074648,a
20.8,-0.4825754163395466,a
21.79,-0.4812323725731882,a
22.78,-0.4799024487605619,a
23.77,-0.47858776497458744,a
24.759999999999998,-0.47728499476825553,a
25.75,-0.47599496242202916,a
26.74,-0.47471812250964673,a
27.73,-0.4734540209667607,a
28.72,-0.47220259548212584,a
29.71,-0.47096236674251013,a
30.7,-0.46973442929636294,a
31.69,-0.4685182913173046,a
32.68,-0.4673128102277815,a
33.67,-0.4661182100503856,a
34.66,-0.4649352642719655,a
35.65,-0.46376219997834944,a
36.64,-0.46260046736044025,a
37.63,-0.4614492499937086,a
38.62,-0.4603073532318302,a
39.61,-0.4591757185864694,a
40.6,-0.4580535686941989,a
41.589999999999996,-0.45694155861316665,a
42.58,-0.45583805148771145,a
43.57,-0.45474409298777446,a
44.56,-0.4536593468067523,a
45.55,-0.45258301738214424,a
46.54,-0.45151618895713386,a
47.53,-0.45045717445948824,a
48.519999999999996,-0.44940644713414635,a
49.51,-0.4483644874822863,a
50.5,-0.4473288996905686,a
51.49,-0.44630290246621906,a
52.48,-0.4452838573411996,a
53.47,-0.44427242909079284,a
54.46,-0.4432693670372704,a
55.45,-0.44227286044372116,a
56.44,-0.44128403404694583,a
57.43,-0.44030130919891564,a
58.42,-0.43932578446691584,a
59.41,-0.43835755810660443,a
60.4,-0.43739590198749795,a
61.39,-0.4364396490801812,a
62.38,-0.43549140446531553,a
63.37,-0.4345474741465141,a
64.36,-0.4336120409128863,a
65.35,-0.4326820551371215,a
66.34,-0.43175633673152797,a
67.33,-0.4308382605627119,a
68.32,-0.42992521408773404,a
69.31,-0.42901736612058705,a
70.3,-0.42811553964633453,a
71.29,-0.4272191014494351,a
72.28,-0.42632732387438155,a
73.27,-0.42544093964765617,a
74.26,-0.42456063881720724,a
75.25,-0.423684096900669,a
76.24,-0.4228133000553502,a
77.23,-0.42194748851652686,a
78.22,-0.4210854730271766,a
79.21,-0.42022814472720843,a
80.2,-0.4193753219129082,a
81.19,-0.41852718298201713,a
82.17999999999999,-0.4176837220457943,a
83.17,-0.4168444928551428,a
84.16,-0.41600936799666877,a
85.15,-0.415177800337413,a
86.14,-0.4143510934483644,a
87.13,-0.41352735791464135,a
88.12,-0.41270879186511816,a
89.11,-0.4118927100440164,a
90.1,-0.4110811234948391,a
91.09,-0.41027236039494375,a
92.08,-0.4094683972779766,a
93.07,-0.4086673227744943,a
94.06,-0.4078689704981501,a
95.05,-0.4070744674273664,a
96.03999999999999,-0.4062830143778837,a
97.03,-0.4054953481154835,a
98.02,-0.4047096568295987,a
99.01,-0.4039282291134364,a
