x,y,label
1.0,3.8122695920246585e-06,a
1.99,3.59743614402816e-06,a
2.98,3.3582905388032658e-06,a
3.9699999999999998,3.1371584115723328e-06,a
4.96,2.8892271194715102e-06,a
5.95,2.6348195321171386e-06,a
6.9399999999999995,2.39170150973661e-06,a
7.93,2.761220285439625e-07,a
8.92,4.796970309757509e-07,a
9.91,5.176051532940207e-07,a
10.9,5.548804376843963e-07,a
11.89,5.950094461096289e-07,a
12.879999999999999,4.5524426808482565e-07,a
13.87,6.793662392229338e-07,a
14.86,7.229966947595867e-07,a
15.85,7.519685136861409e-07,a
16.84,8.163128733459923e-07,a
17.83,8.480210760414275e-07,a
18.82,9.146843758106593e-07,a
19.81,9.492179289805058e-07,a
20.8,1.7913141409399425e-06,a
21.79,1.0557198535758594e-06,a
22.78,1.1272394698606802e-06,a
23.77,1.1676832899175371e-06,a
24.759999999999998,1.2271321289669679e-06,a
25.75,1.2852593238403542e-06,a
26.74,1.347611586040992e-06,a
27.73,1.4129692578988828e-06,a
28.72,-3.8138619989913636e-07,a
29.71,1.5284402569808175e-06,a
30.7,1.5984734611403095e-06,a
31.69,1.6686059630607875e-06,a
32.68,1.7417654905767244e-06,a
33.67,1.9742891334724455e-06,a
34.66,2.0504129257248316e-06,a
35.65,-3.0184964900856204e-07,a
36.64,-3.168976441224325e-07,a
37.63,-3.325001510061376e-07,a
38.62,-3.5011822744138166e-07,a
39.61,-3.7890717936861495e-07,a
40.6,-3.9536513313231936e-07,a
41.589999999999996,-4.1403643804768797e-07,a
42.58,-4.1775735518806423e-07,a
43.57,-4.3761978189491013e-07,a
44.56,-4.6757539587383157e-07,a
45.55,-4.122625993675799e-07,a
46.54,-3.6098446746027357e-07,a
47.53,6.22801627426367e-07,a
48.519999999999996,4.768298372224977e-07,a
49.51,4.846513734016455e-07,a
50.5,4.926514944811333e-07,a
51.49,5.005775044961136e-07,a
52.48,5.089357633103475e-07,a
53.47,5.174850435767098e-07,a
54.46,5.259380129775393e-07,a
55.45,5.348704831750761e-07,a
56.44,5.436913892084561e-07,a
57.43,5.896239667659009e-07,a
58.42,5.619419423223693e-07,a
59.41,5.713443063624923e-07,a
60.4,5.879256373790553e-07,a
61.39,5.904675425549843e-07,a
62.38,6.078649953042414e-07,a
63.37,1.2745369830473308e-06,a
64.36,6.282951360604694e-07,a
65.35,1.282006514499029e-06,a
66.34,6.491727997139096e-07,a
67.33,6.529999464488512e-07,a
68.32,6.713913744717248e-07,a
69.31,6.827331932753034e-07,a
70.3,6.943227286518305e-07,a
71.29,1.3077535079529523e-06,a
72.28,1.2893398706192993e-06,a
73.27,7.297768573992502e-07,a
74.26,7.423672553907856e-07,a
75.25,7.546571451494399e-07,a
76.24,7.67189829421755e-07,a
77.23,7.80566477408956e-07,a
78.22,7.936094658413106e-07,a
79.21,1.3306387101133521e-06,a
80.2,8.202435920999507e-07,a
81.19,8.340558608835313e-07,a
82.17999999999999,8.481286010789124e-07,a
83.17,1.3578921677220857e-06,a
84.16,8.768639551404167e-07,a
85.15,8.91733141071549e-07,a
86.14,9.059413167075703e-07,a
87.13,9.213331629218113e-07,a
88.12,9.368045657057178e-07,a
89.11,9.519553877748721e-07,a
90.1,9.67955181715996e-07,a
91.09,9.587161262855637e-07,a
92.08,1.4280279938896911e-06,a
93.07,1.0160648307860898e-06,a
94.06,1.0322431961973244e-06,a
95.05,1.048649477419783e-06,a
96.03999999999999,1.0582067198963707e-06,a
97.03,1.0584694432325126e-06,a
98.02,1.0756518425206196e-06,a
99.01,1.0930214026511065e-06,a
