x,y,label
1.0,-4.0252864078871034e-11,a
1.99,-4.106014185797217e-11,a
2.98,-4.051148987006076e-11,a
3.9699999999999998,-4.0543496841717153e-11,a
4.96,-4.036544645372682e-11,a
5.95,-4.0530793577044756e-11,a
6.9399999999999995,-4.031283958192841e-11,a
7.93,-4.1225866865041025e-11,a
8.92,-4.0106968946339636e-11,a
9.91,-4.0694884794104115e-11,a
10.9,-4.081440141766709e-11,a
11.89,-4.0297719550206675e-11,a
12.879999999999999,-3.993170878365473e-11,a
13.87,-4.0041667809403626e-11,a
14.86,-4.028499026877931e-11,a
15.85,-3.971917432153275e-11,a
16.84,-4.014147014423065e-11,a
17.83,-4.024629976986247e-11,a
18.82,-3.992283846031338e-11,a
19.81,-3.989938568918461e-11,a
20.8,-3.976909206555463e-11,a
21.79,-3.946413403083554e-11,a
22.78,-3.983283095210769e-11,a
23.77,-3.952887486416173e-11,a
24.759999999999998,-3.9051741264837945e-11,a
25.75,-3.940890220925742e-11,a
26.74,-3.943868836645787e-11,a
27.73,-3.9269327454158064e-11,a
28.72,-3.8811481376153096e-11,a
29.71,-3.856211073350705e-11,a
30.7,-3.877521508068184e-11,a
31.69,-3.818344004916332e-11,a
32.68,-3.844218040645976e-11,a
33.67,-3.8059497711943906e-11,a
34.66,-3.8464226230603775e-11,a
35.65,-3.804038907839164e-11,a
36.64,-3.819510758759732e-11,a
37.63,-3.737736389642691e-11,a
38.62,-3.778524594063524e-11,a
39.61,-3.739869656545689e-11,a
40.6,-3.685022838488359e-11,a
41.589999999999996,-3.730557352556096e-11,a
42.58,-3.7238841870493795e-11,a
43.57,-3.679870115588924e-11,a
44.56,-3.655671972846363e-11,a
45.55,-3.6511076172164506e-11,a
46.54,-3.6280272633954315e-11,a
47.53,-3.6242130067558494e-11,a
48.519999999999996,-3.599176145171065e-11,a
49.51,-3.5446888880607935e-11,a
50.5,-3.57191288477286e-11,a
51.49,-3.5395049443952184e-11,a
52.48,-3.5174104876885305e-11,a
53.47,-3.515335016902265e-11,a
54.46,-3.4489510737888756e-11,a
55.45,-3.491538669093921e-11,a
56.44,-3.4579547738040504e-11,a
57.43,-3.408186599054872e-11,a
58.42,-3.406747979413758e-11,a
59.41,-3.391053054482977e-11,a
60.4,-3.374103161700264e-11,a
61.39,-3.3590463665815504e-11,a
62.38,-3.388034910376854e-11,a
63.37,-3.337582359513253e-11,a
64.36,-3.264480518074649e-11,a
65.35,-3.286728023292942e-11,a
66.34,-3.245224268253487e-11,a
67.33,-3.253885032976712e-11,a
68.32,-3.2436152688672594e-11,a
69.31,-3.1759121345333726e-11,a
70.3,-3.203722367983455e-11,a
71.29,-3.1671379493965915e-11,a
72.28,-3.154365928153309e-11,a
73.27,-3.1070622890891704e-11,a
74.26,-3.0928042617342e-11,a
75.25,-3.0691314108680826e-11,a
76.24,-3.0356966261987835e-11,a
77.23,-3.042056174467859e-11,a
78.22,-3.0058724685815954e-11,a
79.21,-2.997862997516752e-11,a
80.2,-2.95739168449249e-11,a
81.19,-2.958124695011205e-11,a
82.17999999999999,-2.979978164947714e-11,a
83.17,-2.9154843878508153e-11,a
84.16,-2.9115168496013543e-11,a
85.15,-2.9054046111849994e-11,a
86.14,-2.852993990923527e-11,a
87.13,-2.8471506397101394e-11,a
88.12,-2.8239547853284556e-11,a
89.11,-2.7829966236305767e-11,a
90.1,-2.7648870914357142e-11,a
91.09,-2.7555426399681183e-11,a
92.08,-2.7535967047304593e-11,a
93.07,-2.697021611797531e-11,a
94.06,-2.716439818236315e-11,a
95.05,-2.6907080952125493e-11,a
96.03999999999999,-2.655172180817328e-11,a
97.03,-2.6370064667539084e-11,a
98.02,-2.6031354311201224e-11,a
99.01,-2.584898708728589e-11,a
