x,y,label
1.0,6.424721865627703e-14,a
1.99,3.8434276594667693e-11,a
2.98,3.236169665576938e-11,a
3.9699999999999998,2.630234224865191e-11,a
4.96,2.041276175868134e-11,a
5.95,1.4276239912458522e-11,a
6.9399999999999995,9.141611079233058e-12,a
7.93,5.547250159221306e-12,a
8.92,2.7255211976218163e-12,a
9.91,7.596909212814751e-13,a
10.9,-5.660055757417126e-14,a
11.89,8.971365317300695e-13,a
12.879999999999999,3.249782387637623e-12,a
13.87,7.680744928961758e-12,a
14.86,1.4535227188527955e-11,a
15.85,2.249993247271931e-11,a
16.84,3.35350844316018e-11,a
17.83,9.42197708742043e-13,a
18.82,1.6520604328995603e-12,a
19.81,2.2559315526748946e-12,a
20.8,3.277697557813042e-12,a
21.79,4.22713253289686e-12,a
22.78,5.838163286142617e-12,a
23.77,7.47772677112124e-12,a
24.759999999999998,1.0295472807619888e-11,a
25.75,1.2256071157956683e-11,a
26.74,1.6139263536718573e-11,a
27.73,1.869463611692268e-11,a
28.72,2.4311344604122098e-11,a
29.71,2.9398296297333815e-11,a
30.7,3.5345469606706814e-11,a
31.69,4.195042924148851e-11,a
32.68,7.031875082219585e-14,a
33.67,2.874783744388765e-14,a
34.66,8.891498648466722e-14,a
35.65,1.0706713293728853e-13,a
36.64,3.2077118738982335e-13,a
37.63,1.1717016246137746e-13,a
38.62,1.8944568136447515e-13,a
39.61,3.061231823586752e-13,a
40.6,4.148070775755741e-13,a
41.589999999999996,5.795711133238513e-13,a
42.58,7.278969094137722e-13,a
43.57,5.770522948367329e-13,a
44.56,8.320635846992275e-13,a
45.55,2.2657431486550195e-12,a
46.54,2.9145089119886336e-12,a
47.53,2.083493100268896e-12,a
48.519999999999996,4.4077450023216613e-11,a
49.51,4.015822396841173e-11,a
50.5,3.744219517765046e-11,a
51.49,3.475731508162383e-11,a
52.48,3.16941681233196e-11,a
53.47,2.8831936838003003e-11,a
54.46,2.5119552271579693e-11,a
55.45,2.0858925697808672e-11,a
56.44,1.670562993494329e-11,a
57.43,1.3122884723326678e-11,a
58.42,1.0134677819184645e-11,a
59.41,7.538844548626855e-12,a
60.4,4.432211542226838e-12,a
61.39,2.3434310048031648e-12,a
62.38,4.0284442448523805e-13,a
63.37,3.0184188481996443e-15,a
64.36,3.3582858716130204e-13,a
65.35,2.1485938028753537e-12,a
66.34,5.641452582860751e-12,a
67.33,1.0825416951742994e-11,a
68.32,1.9045369448189575e-11,a
69.31,2.7555360770925574e-11,a
70.3,4.102205380940305e-11,a
71.29,5.503188876820886e-11,a
72.28,1.7957718645433829e-12,a
73.27,2.4747287552528974e-12,a
74.26,3.760963762644565e-12,a
75.25,5.66324070971902e-12,a
76.24,6.526737483802947e-12,a
77.23,8.39336933289303e-12,a
78.22,1.1601747340606039e-11,a
79.21,1.2145784378247981e-11,a
80.2,1.4745454857134632e-11,a
81.19,1.7842068100737407e-11,a
82.17999999999999,2.2834650836855985e-11,a
83.17,2.503707657863785e-11,a
84.16,3.137760884452945e-11,a
85.15,3.598853853814532e-11,a
86.14,4.082120752535445e-11,a
87.13,4.6374348805500176e-11,a
88.12,5.552942827780072e-11,a
89.11,1.0477729794899915e-15,a
90.1,2.0518309273853674e-14,a
91.09,2.0816681711721685e-17,a
92.08,1.0755285551056204e-15,a
93.07,2.243344399133207e-14,a
94.06,2.3876733923344773e-14,a
95.05,5.1486592766991635e-15,a
96.03999999999999,1.3072876114961218e-14,a
97.03,6.147859998861804e-15,a
98.02,4.033579026341272e-14,a
99.01,6.938893903907228e-18,a
