x,y,label
1.0,-2.7070179431376573e-11,a
1.99,-2.809263932590511e-11,a
2.98,-2.7525759449531506e-11,a
3.9699999999999998,-2.761857409439017e-11,a
4.96,-2.763411721673492e-11,a
5.95,-2.782779562338078e-11,a
6.9399999999999995,-2.7624957876781764e-11,a
7.93,-2.9079627594796875e-11,a
8.92,-2.7771618338334747e-11,a
9.91,-2.857936109990078e-11,a
10.9,-2.8863023082692507e-11,a
11.89,-2.8364366411182118e-11,a
12.879999999999999,-2.8011537533956243e-11,a
13.87,-2.8317403977240474e-11,a
14.86,-2.8876567803592934e-11,a
15.85,-2.8237967519828544e-11,a
16.84,-2.8846036670415742e-11,a
17.83,-2.93000623763362e-11,a
18.82,-2.9003410784156358e-11,a
19.81,-2.905603535552359e-11,a
20.8,-2.9029001424873968e-11,a
21.79,-2.8807400909158787e-11,a
22.78,-2.9590274674973216e-11,a
23.77,-2.933225884405033e-11,a
24.759999999999998,-2.8811675267803594e-11,a
25.75,-2.9548807845003466e-11,a
26.74,-2.9851954241877365e-11,a
27.73,-2.964295475749168e-11,a
28.72,-2.929045894717319e-11,a
29.71,-2.911415553086272e-11,a
30.7,-2.958749911741165e-11,a
31.69,-2.90745205688836e-11,a
32.68,-2.961075828977755e-11,a
33.67,-2.9453883776398015e-11,a
34.66,-3.011740856706524e-11,a
35.65,-2.9734548157023255e-11,a
36.64,-3.006805915362065e-11,a
37.63,-2.9253877098511794e-11,a
38.62,-3.0160818287328084e-11,a
39.61,-2.973599144695527e-11,a
40.6,-2.9245050825466024e-11,a
41.589999999999996,-3.015576677256604e-11,a
42.58,-3.021721761697904e-11,a
43.57,-2.9914182242407605e-11,a
44.56,-2.971928259043466e-11,a
45.55,-3.002154080888886e-11,a
46.54,-2.992839309712281e-11,a
47.53,-2.9930502520869595e-11,a
48.519999999999996,-2.983618907492769e-11,a
49.51,-2.939487542263919e-11,a
50.5,-3.011241256345443e-11,a
51.49,-2.984335001343652e-11,a
52.48,-2.9817148750055367e-11,a
53.47,-2.9985680605193465e-11,a
54.46,-2.904632090405812e-11,a
55.45,-3.022682104614205e-11,a
56.44,-2.990807601577217e-11,a
57.43,-2.9387159372618044e-11,a
58.42,-2.9545643709383285e-11,a
59.41,-2.970046431016726e-11,a
60.4,-2.971745072244403e-11,a
61.39,-2.979383406653824e-11,a
62.38,-3.0464464284563064e-11,a
63.37,-3.0020153030108077e-11,a
64.36,-2.913158603234933e-11,a
65.35,-2.968630896660329e-11,a
66.34,-2.937811105496735e-11,a
67.33,-2.962230460923365e-11,a
68.32,-2.9881097596273776e-11,a
69.31,-2.892980299762371e-11,a
70.3,-2.998717940627671e-11,a
71.29,-2.943062460403212e-11,a
72.28,-2.962796674665924e-11,a
73.27,-2.9181101979247615e-11,a
74.26,-2.9257873901400444e-11,a
75.25,-2.9039159965549288e-11,a
76.24,-2.875411020397678e-11,a
77.23,-2.924366304668524e-11,a
78.22,-2.8917535033201602e-11,a
79.21,-2.8900881687832225e-11,a
80.2,-2.86804469062929e-11,a
81.19,-2.8884006297857923e-11,a
82.17999999999999,-2.9452551508768465e-11,a
83.17,-2.878236537995349e-11,a
84.16,-2.8921531836090253e-11,a
85.15,-2.9122482203547406e-11,a
86.14,-2.845718105604078e-11,a
87.13,-2.8555879882929958e-11,a
88.12,-2.8637370252937444e-11,a
89.11,-2.8172186805619504e-11,a
90.1,-2.813277388824531e-11,a
91.09,-2.8178070987650017e-11,a
92.08,-2.8568480914259453e-11,a
93.07,-2.7708058070174957e-11,a
94.06,-2.830224943295434e-11,a
95.05,-2.8227475912245836e-11,a
96.03999999999999,-2.775712992786339e-11,a
97.03,-2.7624902365630533e-11,a
98.02,-2.7363333821028846e-11,a
99.01,-2.7313429296071945e-11,a
