x,y,label
1.0,-3.6255803914642115e-11,a
1.99,-3.6651459645042905e-11,a
2.98,-3.633843226324984e-11,a
3.9699999999999998,-3.634370582261681e-11,a
4.96,-3.611030918726499e-11,a
5.95,-3.622707689387994e-11,a
6.9399999999999995,-3.6103148248756156e-11,a
7.93,-3.630290512646184e-11,a
8.92,-3.5756952954102417e-11,a
9.91,-3.5996983172026376e-11,a
10.9,-3.597391828868979e-11,a
11.89,-3.565506223601744e-11,a
12.879999999999999,-3.543640381131752e-11,a
13.87,-3.538153103832542e-11,a
14.86,-3.531344661134028e-11,a
15.85,-3.503611289978892e-11,a
16.84,-3.518793589840641e-11,a
17.83,-3.49959505818731e-11,a
18.82,-3.4795222259020875e-11,a
19.81,-3.474612264575683e-11,a
20.8,-3.460515207720505e-11,a
21.79,-3.436778639454019e-11,a
22.78,-3.428105022074135e-11,a
23.77,-3.4076297339424855e-11,a
24.759999999999998,-3.383623936592528e-11,a
25.75,-3.376562918155912e-11,a
26.74,-3.3572367108547496e-11,a
27.73,-3.352870758810411e-11,a
28.72,-3.317215946374574e-11,a
29.71,-3.297662143353364e-11,a
30.7,-3.29085370065485e-11,a
31.69,-3.2489039236693884e-11,a
32.68,-3.2430613750022985e-11,a
33.67,-3.2009062067572813e-11,a
34.66,-3.205180565402088e-11,a
35.65,-3.177419438671336e-11,a
36.64,-3.173114548893352e-11,a
37.63,-3.123937220017581e-11,a
38.62,-3.1047192594613193e-11,a
39.61,-3.0869445888370706e-11,a
40.6,-3.0496077885189266e-11,a
41.589999999999996,-3.036390583410764e-11,a
42.58,-3.02219360648337e-11,a
43.57,-2.983743807583039e-11,a
44.56,-2.966601964082827e-11,a
45.55,-2.9311969518275305e-11,a
46.54,-2.905387042062557e-11,a
47.53,-2.9015234659368616e-11,a
48.519999999999996,-2.8724661538248597e-11,a
49.51,-2.8304775190335363e-11,a
50.5,-2.8028912524291627e-11,a
51.49,-2.779629304505704e-11,a
52.48,-2.747582716899899e-11,a
53.47,-2.728228754023121e-11,a
54.46,-2.7196467300427685e-11,a
55.45,-2.6653484974659136e-11,a
56.44,-2.645464403094877e-11,a
57.43,-2.6200819291943844e-11,a
58.42,-2.6022017873827963e-11,a
59.41,-2.559341627517142e-11,a
60.4,-2.52975140835332e-11,a
61.39,-2.496219897452079e-11,a
62.38,-2.4701823919670574e-11,a
63.37,-2.4347857063844458e-11,a
64.36,-2.4121010744337923e-11,a
65.35,-2.3873847343480747e-11,a
66.34,-2.3513829772170425e-11,a
67.33,-2.3392926484788745e-11,a
68.32,-2.2890966899780096e-11,a
69.31,-2.2858381854007348e-11,a
70.3,-2.202826809849512e-11,a
71.29,-2.2089940987513046e-11,a
72.28,-2.1598223209906564e-11,a
73.27,-2.1302376529419575e-11,a
74.26,-2.0937473976800902e-11,a
75.25,-2.0794282962199873e-11,a
76.24,-2.0547757939581857e-11,a
77.23,-2.0000917588802736e-11,a
78.22,-1.9755613811511807e-11,a
79.21,-1.96385685491407e-11,a
80.2,-1.914537972602659e-11,a
81.19,-1.8876733509642918e-11,a
82.17999999999999,-1.8486601138789638e-11,a
83.17,-1.8163165416140714e-11,a
84.16,-1.7877560543055893e-11,a
85.15,-1.743460931180607e-11,a
86.14,-1.7375989536105862e-11,a
87.13,-1.7105095118097324e-11,a
88.12,-1.645503178160368e-11,a
89.11,-1.6326912044561936e-11,a
90.1,-1.599448351541355e-11,a
91.09,-1.571578978065702e-11,a
92.08,-1.4970913397860386e-11,a
93.07,-1.5197676450640074e-11,a
94.06,-1.4590245678292035e-11,a
95.05,-1.4096557254816844e-11,a
96.03999999999999,-1.4129059033862745e-11,a
97.03,-1.3943429744145419e-11,a
98.02,-1.36029520980685e-11,a
99.01,-1.3243794949602261e-11,a
