x,y,label
1.0,3.0990349175752385e-11,a
1.99,3.1851576931529735e-11,a
2.98,3.1169095082717035e-11,a
3.9699999999999998,3.235312018290415e-11,a
4.96,3.1776831166396846e-11,a
5.95,3.040492857486754e-11,a
6.9399999999999995,3.0612290480291904e-11,a
7.93,3.098549195001965e-11,a
8.92,3.0680152862672116e-11,a
9.91,3.0621172264488905e-11,a
10.9,3.18364223872436e-11,a
11.89,3.1168206904297335e-11,a
12.879999999999999,3.0281138707621835e-11,a
13.87,2.8894081571806396e-11,a
14.86,2.9898555853336006e-11,a
15.85,3.0681429619150435e-11,a
16.84,2.7649632583504058e-11,a
17.83,2.9021035574672283e-11,a
18.82,2.9507674081941104e-11,a
19.81,3.032854523077333e-11,a
20.8,2.985892089135689e-11,a
21.79,2.876579530131096e-11,a
22.78,2.887093342174296e-11,a
23.77,2.953012834261415e-11,a
24.759999999999998,3.0034252862520816e-11,a
25.75,2.95341251455028e-11,a
26.74,2.9038993432095594e-11,a
27.73,2.918359998105302e-11,a
28.72,2.9020952307945436e-11,a
29.71,2.9129476608602545e-11,a
30.7,2.8889085568195583e-11,a
31.69,2.8601093715607817e-11,a
32.68,2.7809587965776927e-11,a
33.67,2.919839370285615e-11,a
34.66,3.065991904804832e-11,a
35.65,2.827069134347937e-11,a
36.64,2.899050444149509e-11,a
37.63,2.8759300496616902e-11,a
38.62,2.8832936038725165e-11,a
39.61,2.8187119305300712e-11,a
40.6,2.7867153029603742e-11,a
41.589999999999996,2.8010455066507234e-11,a
42.58,2.8645030791807358e-11,a
43.57,2.9233865328492925e-11,a
44.56,2.883537852937934e-11,a
45.55,2.9649338539883274e-11,a
46.54,2.9836022541473994e-11,a
47.53,2.8159363729685083e-11,a
48.519999999999996,2.9327706929649366e-11,a
49.51,3.0456331900907685e-11,a
50.5,2.8818503139405038e-11,a
51.49,2.983635560838138e-11,a
52.48,3.042310847689578e-11,a
53.47,2.9163643722185384e-11,a
54.46,2.8260171980321047e-11,a
55.45,3.002070814162039e-11,a
56.44,3.0260322025910114e-11,a
57.43,3.0737828948801393e-11,a
58.42,2.968503221012497e-11,a
59.41,3.042507912276449e-11,a
60.4,2.9803687295881787e-11,a
61.39,2.9467150941542286e-11,a
62.38,3.031036532874509e-11,a
63.37,3.1172786574273914e-11,a
64.36,3.243338930758455e-11,a
65.35,2.976932589326964e-11,a
66.34,3.171998774753604e-11,a
67.33,3.155820049727254e-11,a
68.32,3.100877887796116e-11,a
69.31,3.032732398544624e-11,a
70.3,3.050418251326903e-11,a
71.29,3.0728253275214e-11,a
72.28,3.14727133243764e-11,a
73.27,3.0267816031326333e-11,a
74.26,3.195929632049399e-11,a
75.25,3.1850744264261266e-11,a
76.24,3.335090537071039e-11,a
77.23,3.190619990434129e-11,a
78.22,3.1619179496900074e-11,a
79.21,3.1116192955593647e-11,a
80.2,3.2991165355156227e-11,a
81.19,3.155048444725139e-11,a
82.17999999999999,3.3085728601278674e-11,a
83.17,3.20170279177745e-11,a
84.16,3.213418420244807e-11,a
85.15,3.33811034369802e-11,a
86.14,3.2721880760533395e-11,a
87.13,3.318151309272821e-11,a
88.12,3.541894555425529e-11,a
89.11,3.37105343639621e-11,a
90.1,3.406028237229464e-11,a
91.09,3.4726638231674656e-11,a
92.08,3.4502040113792987e-11,a
93.07,3.558023320415771e-11,a
94.06,3.604971876569607e-11,a
95.05,3.4767799750312633e-11,a
96.03999999999999,3.570074791348077e-11,a
97.03,3.5648511920172155e-11,a
98.02,3.531999692718557e-11,a
99.01,3.6923297752622375e-11,a
